Country,1913,1950,1973,1990,1998
Afghanistan,,5 255,9 181,8 861,12 744
Albania,,1 228,5 219,8 125,7 999
Algeria,,12 136,35 814,73 934,81 948
Angola,,4 331,10 784,7 207,7 029
Antigua & Barbuda,,82,328,413,510
Argentina,29 060,85 524,200 720,212 518,334 314
Armenia,,,16 691,20 483,12 679
Australia,27 552,61 274,172 314,291 180,382 335
Austria,23 451,25 702,85 227,130 476,152 712
Azerbaijan,,,24 378,33 397,16 365
Bahamas,,756,3 159,3 946,4 248
Bahrain,,242,1 046,2 054,2 846
Bangladesh,,24 628,35 997,70 320,101 666
Barbados,,448,1 595,2 138,2 366
Belarus,,,48 333,73 389,58 799
Belgium,32 347,47 190,118 516,171 442,198 249
Belize,,110,341,735,929
Benin,,1 813,3 011,5 347,7 668
Bermuda,,65,238,310,
Bolivia,,5 309,11 030,14 446,19 241
Bosnia,,,,16 530,9 261
Botswana,,150,722,4 178,6 083
Brazil,19 188,89 342,401 643,743 765,926 919
Bulgaria,7 181,11 971,45 557,49 779,37 786
Burkina Faso,,1 686,3 287,5 482,7 613
Burma,8 445,7 711,18 352,30 834,48 427
Burundi,,772,1 781,3 520,3 005
Cambodia,,2 155,5 858,8 235,11 998
Cameroon,,3 279,7 201,14 393,15 157
Canada,34 916,102 164,312 176,524 475,622 880
Cape Verde,,66,147,430,544
Central African Rep.,,972,1 627,1 982,2 203
Chad,,1 240,1 726,2 573,3 463
Chile,9 261,23 274,50 401,84 038,144 279
China,241 344,239 903,740 048,2 109 400,3 873 352
Colombia,6 420,24 955,80 728,159 042,205 132
Comoros,,83,229,294,285
Congo,,990,2 727,5 394,5 951
Costa Rica,,1 702,8 145,14 370,19 272
Croatia,,,,33 139,27 858
Cuba,,19 613,29 165,31 087,23 909
"Czechoslovakia
a) Czech Republic",27 755,43 368,102 445,91 706,88 897
Côte d'Ivoire,,2 977,12 064,16 330,21 201
Denmark,11 670,29 654,70 032,94 863,117 319
Djibouti,,90,412,530,467
Dominica,,82,182,279,344
Dominican Republic,,2 416,9 617,17 503,25 304
Ecuador,,6 278,21 337,40 267,51 378
Egypt,8 891,15 224,36 249,112 873,140 546
El Salvador,,2 888,9 084,10 805,15 627
Estonia,,,12 214,16 980,14 671
Ethiopia and Eritrea,,5 394,13 640,18 964,24 833
Finland,6 389,17 051,51 724,84 103,94 421
Former Yugoslavia,13 988,25 277,88 813,129 953,95 337
Former Yugoslavia,,,,129 953,95 337
France,144 489,220 492,683 965,1 026 491,1 150 080
Gabon,,1 292,4 086,4 500,5 901
Gambia,,165,533,833,1 098
Georgia,,,28 627,41 325,14 894
Germany,237 332,265 354,944 755,1 264 438,1 460 069
Ghana,1 509,5 943,13 484,16 372,23 014
Greece,8 635,14 489,68 355,101 452,118 433
Grenada,,71,180,310,388
Guadeloupe,,359,1 568,1 801,
Guatemala,,6 190,18 593,29 050,40 522
Guinea,,784,1 861,3 304,4 573
Guinea Bissau,,166,558,794,736
Guyana,,462,1 309,1 159,2 018
Guyana (Fr.),,138,238,516,
Haiti,,3 254,4 810,6 323,5 532
Honduras,,1 880,4 866,8 898,11 929
Hong Kong,,4 962,29 931,99 770,135 089
Hungary,16 447,23 158,58 339,66 990,66 089
Indiaa,204 241,222 222,494 832,1 098 100,1 702 712
Indonesia,45 152,66 358,186 900,450 901,627 499
Iran,,28 128,171 466,199 819,274 695
Iraq,,7 041,39 042,44 583,24 564
Ireland,,10 231,21 103,41 459,67 368
Israel,,3 623,30 839,58 511,85 520
Italy,95 487,164 957,582 713,925 654,1 022 776
Jamaica,,1 837,8 411,8 890,9 308
Japan,71 653,160 966,1 242 932,2 321 153,2 581 576
Jordan,,933,3 999,12 371,18 313
Kazakhstan,,,104 875,122 295,74 857
Kenya,,3 982,12 107,26 093,30 451
Kuwait,,4 181,23 847,13 111,21 565
Kyrgyzstan,,,11 781,15 787,9 595
Laos,,1 156,2 331,3 912,5 806
Latvia,,,18 998,26 413,15 222
Lebanon,,3 313,8 915,6 099,12 077
Lesotho,,232,790,1 828,2 451
Liberia,,869,2 212,2 245,2 580
Lithuania,,,24 643,32 010,21 914
Macedonia,,,,7 394,5 871
Madagascar,,4 394,8 292,9 210,9 976
Malawi,,913,2 756,5 146,6 949
Malaysia,2 773,10 032,29 982,89 823,148 621
Mali,,1 685,3 449,6 040,7 917
Martinique,,293,1 568,1 857,
Mauritania,,467,1 309,1 825,2 494
Mauritius,,1 198,3 169,7 652,11 508
Mexico,25 921,67 368,279 302,516 692,655 910
Moldova,,,20 134,27 112,9 112
Mongolia,,339,1 170,2 954,2 821
Morocco,3 630,13 598,28 800,64 082,78 397
Mozambique,,7 084,18 894,14 105,22 125
Namibia,,1 002,2 895,4 619,6 158
Nepal,,4 462,7 894,15 609,22 435
Neth. Antilles,,393,1 097,980,1 100
Netherlands,24 955,60 642,175 791,258 094,317 517
New Zealand,5 781,16 136,37 177,46 729,56 322
Nicaragua,,1 774,6 566,5 297,6 651
Niger,,2 018,3 377,4 289,5 149
Nigeria,,23 933,76 585,107 459,136 162
North Korea,,7 293,43 072,56 874,25 130
Norway,6 119,17 838,44 544,78 333,104 860
Oman,,304,2 809,11 487,17 179
Pakistan,,25 366,67 828,182 014,261 497
Panama,,1 710,7 052,10 688,15 609
Paraguay,,2 338,5 487,13 923,16 719
Peru,4 500,17 270,56 713,64 979,95 718
Philippines,10 000,22 616,82 464,143 025,176 246
Poland,,60 742,177 973,194 920,258 220
Portugal,7 467,17 615,63 397,107 427,128 877
Puerto Rico,,4 755,20 908,37 277,51 159
Qatar,,763,6 228,3 276,5 091
Reunion,,485,1 771,2 694,3 174
Romania,,19 279,72 411,80 277,64 715
Russian Federation,,,872 466,1 151 040,664 495
Rwanda,,1 334,2 826,6 125,5 605
Saudi Arabia,,8 610,73 601,144 438,170 972
Senegal,,3 341,6 217,10 032,12 659
Serbia–Montenegro,,,,51 266,28 722
Seychelles,,63,187,366,471
