Sex,Team,Year,Medal
M,Afghanistan,,Bronze
M,Afghanistan,,Bronze
M,Algeria,,Bronze
M,Algeria,1990-1998,Bronze
M,Algeria,,Silver
F,Algeria,1990-1998,Gold
F,Algeria,,Bronze
M,Algeria,,Bronze
M,Algeria,,Gold
M,Algeria,,Silver
M,Algeria,,Silver
F,Algeria,,Gold
M,Algeria,1990-1998,Gold
M,Algeria,1972-1989,Bronze
M,Algeria,,Bronze
M,Algeria,,Silver
M,Algeria,1990-1998,Bronze
M,Algeria,1990-1998,Gold
M,Algeria,1972-1989,Bronze
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Silver
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,1990-1998,Silver
F,Argentina,,Bronze
M,Argentina,1913-1949,Gold
M,Argentina,1913-1949,Bronze
F,Argentina,,Silver
F,Argentina,,Bronze
F,Argentina,,Silver
F,Argentina,,Bronze
M,Argentina,1913-1949,Gold
M,Argentina,1990-1998,Silver
M,Argentina,,Gold
F,Argentina,,Silver
F,Argentina,,Bronze
F,Argentina,,Bronze
F,Argentina,,Silver
M,Argentina,1913-1949,Silver
M,Argentina,,Gold
F,Argentina,,Bronze
F,Argentina,,Bronze
F,Argentina,,Silver
M,Argentina,1990-1998,Silver
M,Argentina,1913-1949,Silver
M,Argentina,1913-1949,Silver
M,Argentina,1990-1998,Silver
M,Argentina,,Gold
M,Argentina,1913-1949,Silver
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,1913-1949,Gold
M,Argentina,,Bronze
M,Argentina,1913-1949,Silver
M,Argentina,,Gold
M,Argentina,1913-1949,Bronze
F,Argentina,1913-1949,Silver
M,Argentina,1950-1972,Gold
F,Argentina,,Gold
M,Argentina,1913-1949,Silver
M,Argentina,1913-1949,Gold
M,Argentina,1972-1989,Bronze
F,Argentina,,Silver
M,Argentina,1990-1998,Silver
M,Argentina,1913-1949,Gold
M,Argentina,1990-1998,Bronze
M,Argentina,1990-1998,Silver
M,Argentina,1913-1949,Silver
M,Argentina,1913-1949,Bronze
M,Argentina,1972-1989,Bronze
M,Argentina,,Gold
M,Argentina,1972-1989,Bronze
M,Argentina,,Bronze
M,Argentina,1913-1949,Silver
M,Argentina,1990-1998,Silver
M,Argentina,,Gold
M,Argentina,1972-1989,Bronze
M,Argentina,1913-1949,Bronze
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Silver
M,Argentina,,Bronze
M,Argentina,,Bronze
M,Argentina,1972-1989,Bronze
M,Argentina,,Bronze
M,Argentina,,Silver
M,Argentina,,Gold
M,Argentina,,Bronze
M,Argentina,,Gold
M,Argentina,1990-1998,Silver
M,Argentina,1950-1972,Bronze
M,Argentina,1950-1972,Silver
F,Argentina,,Bronze
M,Argentina,,Gold
M,Argentina,1913-1949,Silver
M,Argentina,1913-1949,Silver
M,Argentina,1972-1989,Bronze
M,Argentina,1913-1949,Gold
M,Argentina,1990-1998,Silver
M,Argentina,,Silver
M,Argentina,,Bronze
M,Argentina,,Bronze
M,Argentina,1913-1949,Silver
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Silver
M,Argentina,1913-1949,Silver
M,Argentina,1990-1998,Bronze
M,Argentina,,Gold
M,Argentina,1913-1949,Silver
M,Argentina,1990-1998,Silver
F,Argentina,,Silver
M,Argentina,,Gold
F,Argentina,,Silver
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,1913-1949,Gold
M,Argentina,,Gold
M,Argentina,,Gold
M,Argentina,,Bronze
M,Argentina,,Gold
M,Argentina,,Gold
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,,Gold
M,Argentina,,Bronze
M,Argentina,1950-1972,Silver
M,Argentina,1950-1972,Gold
M,Argentina,1950-1972,Bronze
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,,Bronze
M,Argentina,,Gold
M,Argentina,,Bronze
F,Argentina,,Silver
M,Argentina,,Gold
F,Argentina,,Silver
F,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,1950-1972,Bronze
M,Argentina,,Gold
M,Argentina,,Gold
M,Argentina,,Gold
M,Argentina,1913-1949,Gold
M,Argentina,,Bronze
F,Argentina,,Bronze
M,Argentina,1972-1989,Bronze
