Sex,Team,Year,Medal,ID
M,Afghanistan,2008,Bronze,24912
M,Afghanistan,2012,Bronze,24913
M,Algeria,2000,Bronze,517
M,Algeria,1996,Bronze,1565
M,Algeria,2008,Silver,2488
F,Algeria,1992,Gold,3665
F,Algeria,2008,Bronze,12402
M,Algeria,2000,Bronze,12626
M,Algeria,2012,Gold,21389
M,Algeria,2016,Silver,21390
M,Algeria,2016,Silver,21391
F,Algeria,2000,Gold,22805
M,Algeria,1996,Gold,23670
M,Algeria,1984,Bronze,23890
M,Algeria,2000,Bronze,30109
M,Algeria,2000,Silver,30110
M,Algeria,1992,Bronze,32666
M,Algeria,1996,Gold,32667
M,Algeria,1984,Bronze,39276
M,Argentina,2008,Gold,145
M,Argentina,2008,Gold,249
F,Argentina,2000,Silver,297
F,Argentina,2004,Bronze,298
F,Argentina,2008,Bronze,299
M,Argentina,1996,Silver,554
F,Argentina,2000,Bronze,631
M,Argentina,1936,Gold,849
M,Argentina,1928,Bronze,922
F,Argentina,2000,Silver,1015
F,Argentina,2004,Bronze,1016
F,Argentina,2000,Silver,1189
F,Argentina,2004,Bronze,1190
M,Argentina,1928,Gold,1379
M,Argentina,1996,Silver,1403
M,Argentina,2004,Gold,1404
F,Argentina,2000,Silver,1415
F,Argentina,2004,Bronze,1416
F,Argentina,2008,Bronze,1417
F,Argentina,2012,Silver,1418
M,Argentina,1932,Silver,1427
M,Argentina,2008,Gold,1745
F,Argentina,2004,Bronze,1798
F,Argentina,2008,Bronze,1892
F,Argentina,2012,Silver,1893
M,Argentina,1996,Silver,1993
M,Argentina,1928,Silver,2832
M,Argentina,1928,Silver,3602
M,Argentina,1996,Silver,3603
M,Argentina,2016,Gold,4192
M,Argentina,1924,Silver,4203
M,Argentina,2008,Gold,4396
M,Argentina,2004,Gold,4414
F,Argentina,2004,Bronze,4447
F,Argentina,2008,Bronze,4448
M,Argentina,1948,Gold,4609
M,Argentina,2012,Bronze,4663
M,Argentina,1928,Silver,4667
M,Argentina,2016,Gold,4707
M,Argentina,1928,Bronze,4736
F,Argentina,1936,Silver,4766
M,Argentina,1952,Gold,4845
F,Argentina,2016,Gold,4969
M,Argentina,1928,Silver,4973
M,Argentina,1936,Gold,5021
M,Argentina,1988,Bronze,5068
F,Argentina,2012,Silver,5115
M,Argentina,1996,Silver,5116
M,Argentina,1936,Gold,5118
M,Argentina,1996,Bronze,5189
M,Argentina,1996,Silver,5226
M,Argentina,1928,Silver,5466
M,Argentina,1948,Bronze,5649
M,Argentina,1988,Bronze,5909
M,Argentina,2004,Gold,5933
M,Argentina,1988,Bronze,6003
M,Argentina,2000,Bronze,6004
M,Argentina,1924,Silver,6070
M,Argentina,1996,Silver,6293
M,Argentina,2012,Gold,6301
M,Argentina,1988,Bronze,6442
M,Argentina,1936,Bronze,6457
M,Argentina,2008,Gold,6474
M,Argentina,2004,Gold,6515
F,Argentina,2012,Silver,6868
