Count of Medal,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,Grand Total
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2
Algeria,,,,,,,,,,,,,,,,,,,,,2,,2,,3,,5,,,,2,,1,,2,17
Argentina,,,,,,,,10,26,4,11,6,6,2,1,1,2,1,,,,13,2,,20,,20,,49,,51,,19,,22,266
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,6,,3,,4,16
Australasia,,,,,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Australia,2,5,4,3,,,7,11,4,5,1,16,20,62,46,41,51,20,23,13,52,35,57,4,132,1,183,2,157,2,149,3,114,3,82,1310
Austria,5,6,3,9,1,14,,8,11,7,60,16,11,16,9,17,20,8,8,13,4,13,35,12,3,20,4,20,8,30,3,26,,27,2,449
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,,7,,10,,18,44
Bahamas,,,,,,,,,,,,,,,,,,,,,,,1,,5,,11,,2,,7,,4,,6,36
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
Belarus,,,,,,,,,,,,,,,,,,,,,,,,2,23,2,22,1,15,1,29,3,23,6,12,139
Belgium,,15,,9,21,19,177,44,6,1,14,21,8,2,4,3,3,2,9,1,5,2,3,,6,1,7,,3,,5,,3,,21,415
Bohemia,,2,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Brazil,,,,,,,7,,,,,10,3,1,13,12,4,2,3,9,36,23,14,,63,,48,,40,,78,,59,,50,475
Bulgaria,,,,,,,,,,,,,1,18,7,10,26,22,39,91,,41,17,,21,1,13,3,17,1,5,,2,,7,342
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2
Cameroon,,,,,,,,,,,,,,,,,1,,,,1,,,,,,18,,1,,1,,,,,22
Canada,,2,2,2,37,8,16,29,45,49,35,22,21,39,30,12,30,12,26,2,91,29,80,37,50,49,31,74,17,69,35,90,55,86,69,1281
Chile,,,,,,,,,1,,,,4,4,,,,,,,,1,,,,,17,,4,,1,,,,,32
China,,,,,,,,,,,,,,,,,,,,,74,52,85,3,106,14,79,16,94,13,184,19,125,12,113,989
Chinese Taipei,,,,,,,,,,,,,,,1,,1,,,,1,,20,,1,,5,,9,,4,,2,,5,49
Colombia,,,,,,,,,,,,,,,,,,3,,,1,1,1,,,,1,,2,,2,,8,,8,27
Costa Rica,,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,4
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,3
Croatia,,,,,,,,,,,,,,,,,,,,,,,15,,28,,10,4,21,3,5,3,35,1,24,149
Cuba,,2,5,,,,,,,,,,,,,1,10,22,24,20,,,69,,55,,65,,62,,47,,14,,11,407
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,13,23,9,3,13,27,7,9,14,11,15,144
Czechoslovakia,,,,,,,10,10,17,6,18,37,25,7,23,71,50,49,34,52,28,16,35,,,,,,,,,,,,,488
Denmark,6,6,,34,17,74,71,11,11,11,6,48,9,3,18,9,17,1,8,8,13,7,14,,23,5,25,,29,,16,,16,,41,557
Djibouti,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Dominican Republic,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,2,,1,7
East Germany,,,,,,,,,,,,,,,,,58,171,227,303,33,213,,,,,,,,,,,,,,1005
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,2
Egypt,,,,,,,,,4,,5,5,1,,,,,,,,1,,,,,,,,5,,1,,2,,3,27
England,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Estonia,,,,,,,3,6,4,,7,,,,,,,,,,,,3,,,,3,3,3,3,3,1,2,,4,45
Ethiopia,,,,,,,,,,,,,,,1,1,2,2,,4,,,3,,3,,8,,7,,7,,7,,8,53
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13
Finland,,,,4,30,52,52,67,29,32,36,42,47,38,19,20,12,20,22,21,31,38,20,30,4,58,5,13,2,41,5,47,5,33,1,876
France,11,79,1,45,36,23,138,115,46,42,45,77,41,33,15,38,36,25,21,30,70,31,69,11,51,15,66,15,53,15,77,14,82,18,96,1580
